iter,LR0.9_E0.0_Time,LR0.9_E0.0_Rewards,LR0.9_E0.0_Steps,LR0.9_E0.0_Convergence,LR0.9_E0.5_Time,LR0.9_E0.5_Rewards,LR0.9_E0.5_Steps,LR0.9_E0.5_Convergence,LR0.9_E0.7_Time,LR0.9_E0.7_Rewards,LR0.9_E0.7_Steps,LR0.9_E0.7_Convergence,LR0.9_E0.9_Time,LR0.9_E0.9_Rewards,LR0.9_E0.9_Steps,LR0.9_E0.9_Convergence
104,0.024092792,-69.82,143.54,8.1534177908,0.020156342,-8.16,108.14,9.5125919138,0.019155897,15.34,86.66,8.5173265861,0.018742865,-13.22,109.16,7.5147389455
105,0.02431312,-181.74,192.84,8.2147658784,0.020263003,-30.58,124.5,10.1518437988,0.01925266,-55.7,145.58,8.4263610123,0.018870754,-180.76,191.86,7.9474145689
106,0.024655013,-41.94,129.8,8.340135653,0.020387246,24.08,77.92,10.7751042595,0.019384558,33.86,68.14,7.7302521996,0.019004812,-44.56,128.38,8.1314708712
107,0.024808252,14.44,87.56,8.7519320892,0.020550745,-149.4,180.7,11.3132579083,0.019551173,37.76,64.24,7.4572724181,0.019123821,-8.94,108.92,8.5561422998
108,0.024931816,20.28,81.72,9.2070968738,0.020719333,-11.36,111.34,11.6154809095,0.019669131,19.48,82.52,7.6766604484,0.019250891,9.64,92.36,8.4837318628
109,0.025038144,11.52,88.46,8.9357352608,0.020829134,50.5,51.5,11.9337392892,0.020021355,-58.4,140.2,7.7631138121,0.019374736,52.46,49.54,8.6543808116
110,0.025267044,-118.48,163.92,9.0171102805,0.020923452,39.06,62.94,12.4273037943,0.020235255,15.18,84.8,8.2564518694,0.019466335,37.3,64.7,9.2292566246
111,0.02541014,-199,200,9.0317823596,0.021030568,23.42,78.58,12.6298805323,0.020733256,-38.86,126.72,8.7110254931,0.01959528,-40.76,128.62,9.6055238935
112,0.025535908,-195.88,198.9,9.0559930931,0.021131314,23.04,78.96,13.006644572,0.020987374,4.16,97.84,8.8528288618,0.019709956,-43.82,135.72,9.4966425552
113,0.025718482,-97.62,163.26,8.8260336484,0.021251103,25.08,76.92,13.1296543234,0.021096203,-122.84,174.34,8.9494716237,0.019842114,-17.78,109.68,10.1658762135
114,0.025882958,-178.04,191.16,9.6645704267,0.021375065,6.26,95.74,12.8904200951,0.021275902,52.06,49.94,8.9864929393,0.019959246,2.72,97.26,10.1891062342
115,0.026134101,14,85.98,9.9365393697,0.021479527,-62.44,142.22,12.6732877467,0.021398393,1.72,98.26,8.7732431974,0.020057842,52.08,49.92,9.981130201
116,0.026292015,1.46,98.52,10.176392271,0.021662154,-33.98,127.9,12.558025699,0.021501317,34.88,67.12,9.1835716289,0.020159286,-12.64,112.62,9.3693990136
117,0.026421619,-15.2,111.14,10.364016428,0.021793895,-3.02,103,12.968868564,0.021601346,21.24,80.76,9.3274705599,0.020268565,-22.48,120.44,9.2539732897
118,0.026553563,-38.82,128.7,10.5043676585,0.021950451,16.32,83.66,12.5746205098,0.02172557,20.36,81.64,8.7472423892,0.020381644,-7.74,103.68,9.8960396076
