iter,E0.1_Steps,E0.1_Time,E0.1_Rewards,E0.1_Convergence,E0.3_Steps,E0.3_Time,E0.3_Rewards,E0.3_Convergence,E0.5_Steps,E0.5_Time,E0.5_Rewards,E0.5_Convergence
193,14,0.000676,86,5.22265438007707E-07,16,0.000775,84,0.000000423,16,0.000784,84,3.8073507369063E-07
194,14,0.000677,86,0.00000047,14,0.000687,86,3.80735187377468E-07,15,0.00074,85,3.42661564900482E-07
195,14,0.000682,86,0.000000423,14,0.000683,86,3.42661664376465E-07,34,0.001594,-33,3.08395414094775E-07
196,28,0.001315,-27,3.80731506766097E-07,14,0.000694,86,3.08395499359904E-07,18,0.000878,82,2.77555869843127E-07
197,14,0.000683,86,3.42658353247316E-07,14,0.00068,86,2.77555955108255E-07,14,0.00069,86,2.49800280016643E-07
198,14,0.000681,86,3.08392515080413E-07,37,0.001713,-36,2.49800365281772E-07,72,0.003318,-368,2.2482025485715E-07
199,16,0.000772,84,2.77553269256714E-07,20,0.000959,80,2.24820325911423E-07,48,0.002234,-245,2.02338227950349E-07
200,14,0.000693,86,2.49797935225615E-07,16,0.000767,84,2.02338299004623E-07,17,0.00083,83,1.82104400892058E-07
201,15,0.000723,85,2.24818137439797E-07,14,0.000679,86,1.82104471946332E-07,14,0.000686,86,1.63893957960681E-07
202,14,0.000675,86,2.02336323695818E-07,16,0.000767,84,1.63894029014955E-07,19,0.000915,81,1.47504565006784E-07
203,14,0.000678,86,1.82102695589492E-07,14,0.000683,86,1.47504621850203E-07,16,0.000778,84,1.32754109927191E-07
204,14,0.000676,86,1.63892423188372E-07,14,0.000677,86,1.32754152559755E-07,20,0.000962,80,1.19478698934472E-07
205,14,0.000679,86,1.47503186553877E-07,18,0.000857,-17,1.19478741567036E-07,14,0.00069,86,1.07530823356683E-07
206,17,0.00081,83,1.32752873582831E-07,14,0.000677,86,1.07530865989247E-07,38,0.001776,-136,9.67777395999292E-08
207,14,0.000678,86,1.19477590487804E-07,16,0.000765,84,9.67777822324933E-08,24,0.001156,-122,8.70999627977653E-08
